carrier,carrier_name,rate_version,residence_country,area,age_min,age_max,product_code,product_name,annual_premium,currency,rate_note
april,APRIL International,april_2025_current,Greece,area1,0,17,international,APRIL International,1010,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,intl_plus,APRIL International Plus,1396,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,intl_plus_nxs,APRIL International Plus NXS,1648,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,executive,APRIL Executive,2232,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,exec_nxs,APRIL Executive NXS,2635,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,exec_plus,APRIL Executive Plus,2934,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,0,17,exec_plus_nxs,APRIL Executive Plus NXS,3463,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,international,APRIL International,1498,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,intl_plus,APRIL International Plus,2128,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,intl_plus_nxs,APRIL International Plus NXS,2509,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,executive,APRIL Executive,3431,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,exec_nxs,APRIL Executive NXS,3979,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,exec_plus,APRIL Executive Plus,4419,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,18,25,exec_plus_nxs,APRIL Executive Plus NXS,5082,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,international,APRIL International,1630,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,intl_plus,APRIL International Plus,2555,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,intl_plus_nxs,APRIL International Plus NXS,3013,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,executive,APRIL Executive,4125,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,exec_nxs,APRIL Executive NXS,4785,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,exec_plus,APRIL Executive Plus,5287,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,26,29,exec_plus_nxs,APRIL Executive Plus NXS,6079,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,30,34,international,APRIL International,1940,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area1,30,34,intl_plus,APRIL International Plus,2764,EUR,Temporary current dataset; replace when new APRIL rates arrive.
