carrier,carrier_name,rate_version,source,area,area_label,age_band,age_min,age_max,product_code,product_name,annual_premium,source_value_raw,currency
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,Child,0,19,standard,Morgan Price Standard,806.26,806.2593855102178,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,Child,0,19,standard_plus,Morgan Price Standard Plus,952.99,952.9913222904327,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,Child,0,19,comprehensive,Morgan Price Comprehensive,1473.22,1473.2212523704188,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,Child,0,19,premium,Morgan Price Premium,1952.87,1952.8716501564097,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,Child,0,19,elite,Morgan Price Elite,2939.6,2939.5950143577606,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,20-24,20,24,standard,Morgan Price Standard,971.15,971.1534753541168,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,20-24,20,24,standard_plus,Morgan Price Standard Plus,1209.59,1209.592872621966,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,20-24,20,24,comprehensive,Morgan Price Comprehensive,2055.01,2055.0133817039705,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,20-24,20,24,premium,Morgan Price Premium,2725.2,2725.203351173336,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,20-24,20,24,elite,Morgan Price Elite,4103.54,4103.5379510925495,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,25-29,25,29,standard,Morgan Price Standard,1045.06,1045.057460845752,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,25-29,25,29,standard_plus,Morgan Price Standard Plus,1301.53,1301.5285827890364,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,25-29,25,29,comprehensive,Morgan Price Comprehensive,2210.86,2210.85900211309,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,25-29,25,29,premium,Morgan Price Premium,2931.74,2931.736703965754,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,25-29,25,29,elite,Morgan Price Elite,4414.35,4414.348800290106,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,30-34,30,34,standard,Morgan Price Standard,1145.52,1145.5199268946055,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,30-34,30,34,standard_plus,Morgan Price Standard Plus,1427.44,1427.4408880949916,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,30-34,30,34,comprehensive,Morgan Price Comprehensive,2426.96,2426.9625378932838,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,30-34,30,34,premium,Morgan Price Premium,3218.91,3218.907407793165,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,30-34,30,34,elite,Morgan Price Elite,4847.52,4847.517781213832,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,35-39,35,39,standard,Morgan Price Standard,1307.19,1307.18591412934,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,35-39,35,39,standard_plus,Morgan Price Standard Plus,1628.5,1628.496248580948,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,35-39,35,39,comprehensive,Morgan Price Comprehensive,2767.72,2767.7230057425363,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,35-39,35,39,premium,Morgan Price Premium,3671.07,3671.0700227556617,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,35-39,35,39,elite,Morgan Price Elite,5528.7,5528.696342393181,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,40-44,40,44,standard,Morgan Price Standard,1490.8,1490.7964776869824,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,40-44,40,44,standard_plus,Morgan Price Standard Plus,1856.75,1856.7459280168378,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,40-44,40,44,comprehensive,Morgan Price Comprehensive,3154.21,3154.214927221621,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,40-44,40,44,premium,Morgan Price Premium,4183.12,4183.1155714730185,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,40-44,40,44,elite,Morgan Price Elite,6184.6,6184.6044033492735,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,45-49,45,49,standard,Morgan Price Standard,1833.57,1833.574098338903,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,45-49,45,49,standard_plus,Morgan Price Standard Plus,2307.0,2306.996989307519,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,45-49,45,49,comprehensive,Morgan Price Comprehensive,3985.52,3985.521349638533,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,45-49,45,49,premium,Morgan Price Premium,5286.26,5286.2603321276065,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,45-49,45,49,elite,Morgan Price Elite,7816.35,7816.35418209214,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,50-54,50,54,standard,Morgan Price Standard,2204.51,2204.5134815361635,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,50-54,50,54,standard_plus,Morgan Price Standard Plus,2694.72,2694.724540276657,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,50-54,50,54,comprehensive,Morgan Price Comprehensive,4432.73,4432.729929455163,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,50-54,50,54,premium,Morgan Price Premium,5879.35,5879.350521445557,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,50-54,50,54,elite,Morgan Price Elite,8693.21,8693.20912933289,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,55-59,55,59,standard,Morgan Price Standard,3035.32,3035.3206264760415,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,55-59,55,59,standard_plus,Morgan Price Standard Plus,3711.32,3711.3195951592015,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,55-59,55,59,comprehensive,Morgan Price Comprehensive,6108.09,6108.090803075777,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,55-59,55,59,premium,Morgan Price Premium,8101.98,8101.984873665639,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,55-59,55,59,elite,Morgan Price Elite,11980.27,11980.266267429237,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,standard,Morgan Price Standard,3832.34,3832.3435282349315,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,standard_plus,Morgan Price Standard Plus,4684.6,4684.596570316039,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,comprehensive,Morgan Price Comprehensive,8476.8,8476.79821931204,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,premium,Morgan Price Premium,10685.11,10685.106389162287,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,60-64,60,64,elite,Morgan Price Elite,15397.34,15397.336726369402,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,standard,Morgan Price Standard,5096.8,5096.8033758962365,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,65-69,65,69,standard_plus,Morgan Price Standard Plus,6275.2,6275.20217551991,EUR
